Bancs;camera;zone;Pop;5_degres_C_TMG_h;5_degres_C_TMG_j;Aire_sous_la_courbe;15_j;16 _j;17_j;18 _j;19_j ;20 _j;21_j
4;3;26;830;372,67;15,53;6400;20;28;40;40;40;44;48
3;3;21;830;360,95;15,04;12184;44;68;76;76;80;80;84
4;4;45;830;370,86;15,45;7568;36;36;40;48;48;52;56
3;4;15;830;380,00;15,83;8064;24;32;44;44;56;60;64
3;3;16;830;342,86;14,29;9136;36;44;44;48;52;56;56
4;4;25;830;377,40;15,73;10288;40;44;56;72;72;72;80
4;2;25;830;387,64;16,15;10416;28;44;64;72;76;84;88
4;4;23;830;404,00;16,83;8160;16;28;52;60;64;72;80
4;2;34;830;391,29;16,30;7800;12;28;52;60;64;64;68
4;4;31;830;376,95;15,71;10840;32;60;76;76;80;80;84
4;1;14;802;399,64;16,65;4680;8;20;28;36;36;40;44
4;1;35;802;422,00;17,58;3360;4;8;16;20;32;36;40
3;4;32;802;433,00;18,04;2336;0;4;8;20;20;24;32
3;2;22;802;403,71;16,82;5728;8;20;32;44;56;56;56
3;1;26;802;399,20;16,63;4272;12;20;24;28;28;32;40
4;3;16;802;396,44;16,52;3944;12;16;20;20;24;28;36
4;2;32;802;440,00;18,33;2112;4;4;8;12;12;20;32
3;2;35;802;408,00;17,00;2352;4;12;16;16;20;20;24
4;4;21;802;440,57;18,36;1832;0;0;4;12;20;24;28
4;3;21;802;383,20;15,97;2456;8;8;16;20;20;20;20
3;1;32;802;348,94;14,54;10680;36;52;60;64;68;68;68
4;3;35;802;371,73;15,49;8056;20;36;48;48;48;52;60
4;1;46;802;361,33;15,06;8680;20;24;44;52;56;56;60
4;4;15;802;364,73;15,20;6216;16;24;36;40;44;44;44
4;3;41;802;410,86;17,12;2664;4;12;12;20;20;28;28
4;1;36;802;382,40;15,93;4944;8;16;32;32;36;40;40
3;2;16;802;374,86;15,62;7344;16;28;48;48;52;56;56
3;2;44;802;393,14;16,38;3160;4;8;24;24;24;28;28
4;3;23;802;470,40;19,60;712;0;0;0;4;4;12;20
4;3;42;802;403,00;16,79;4944;12;16;20;32;40;48;48
3;1;15;802;402,67;16,78;3720;8;12;16;28;36;36;36
4;4;15;802;424,57;17,69;4560;0;4;20;36;52;56;56
4;2;22;802;436,00;18,17;2800;0;4;12;20;28;36;40
3;1;42;802;397,60;16,57;6504;16;28;36;52;56;60;60
3;2;34;802;356,44;14,85;5384;12;24;32;32;36;36;36
4;2;34;802;420,00;17,50;4816;0;4;20;40;48;56;56
3;1;23;802;384,36;16,02;5352;16;32;32;36;40;40;44
3;2;22;802;388,94;16,21;7960;24;36;48;56;68;68;68
4;3;11;802;393,50;16,40;3600;4;4;20;28;32;32;32
4;3;32;802;391,67;16,32;5488;16;24;32;40;40;44;48
3;3;34;802;360,57;15,02;8144;20;36;44;48;52;56;56
3;3;14;802;371,71;15,49;7520;20;20;36;44;52;56;56
3;3;41;802;335,20;13,97;10248;44;52;56;56;60;60;60
4;3;23;802;355,29;14,80;10248;36;52;56;68;68;68;68
4;4;45;802;393,71;16,40;6288;4;28;40;44;56;56;56
3;4;43;802;337,14;14,05;9456;36;40;48;52;56;56;56
4;3;36;802;357,90;14,91;12440;48;64;64;68;76;80;84
4;3;46;802;417,41;17,39;6024;4;8;36;48;56;64;68
4;1;11;802;384,40;16,02;4864;16;16;16;28;32;32;40
3;2;35;802;340,00;14,17;5312;12;20;24;28;32;32;32
4;2;14;802;426,00;17,75;1280;4;4;4;4;8;12;16
3;1;31;802;352,67;14,69;7360;24;40;40;40;40;48;48
3;2;13;802;374,00;15,58;4224;20;24;24;32;32;32;32
3;2;25;802;402,00;16,75;1664;4;8;8;12;12;16;16
3;2;46;802;352,00;14,67;3696;12;24;24;24;24;24;24
3;2;21;802;335,56;13,98;6136;20;28;36;36;36;36;36
3;4;35;802;419,67;17,49;4144;4;20;24;28;32;44;48
3;1;24;802;362,86;15,12;4008;8;16;20;20;24;24;28
3;2;11;802;400,73;16,70;4632;12;20;24;36;40;40;44
3;2;45;802;416,36;17,35;3944;4;12;28;28;32;40;44
3;2;16;802;377,33;15,72;4632;12;20;24;32;36;36;36
3;3;36;802;406,00;16,92;1600;4;4;4;8;16;16;16
3;2;12;802;421,00;17,54;1360;0;8;8;8;8;16;16
4;3;15;802;420,80;17,53;1704;4;4;8;12;12;16;20
3;4;11;802;402,67;16,78;3720;4;16;20;28;32;36;36
3;4;42;802;416,00;17,33;3240;4;8;12;28;32;36;36
3;2;15;802;380,00;15,83;2520;8;12;16;16;16;16;20
4;2;21;802;418,55;17,44;3848;0;16;20;20;36;44;44
3;1;44;802;383,50;15,98;3920;12;12;28;28;32;32;32
3;1;33;802;372,80;15,53;2664;4;16;20;20;20;20;20
4;1;12;802;408,25;17,01;6256;8;24;44;48;52;56;64
4;4;25;802;373,00;15,54;8512;20;40;56;56;60;60;64
3;1;43;802;353,71;14,74;4264;16;24;24;24;24;28;28
4;3;32;802;403,33;16,81;2464;4;8;16;20;20;24;24
4;2;11;802;396,67;16,53;2624;8;12;12;16;20;20;24
3;1;12;802;366,67;15,28;1672;8;8;8;8;12;12;12
3;3;25;802;392,44;16,35;4088;8;16;28;28;36;36;36
4;4;43;802;389,50;16,23;3728;12;16;24;24;28;32;32
3;1;12;802;348,40;14,52;6304;24;28;32;32;36;36;40
3;4;36;802;372,50;15,52;4272;8;16;28;28;28;32;32
3;4;14;802;373,00;15,54;4256;16;24;28;28;28;28;32
4;1;25;802;421,60;17,57;3376;8;12;20;20;24;36;40
4;1;33;802;415,08;17,29;4728;8;16;24;32;36;48;52
3;3;11;802;371,00;15,46;4320;8;20;28;32;32;32;32
3;3;21;802;338,25;14,09;10736;40;52;56;64;64;64;64
4;3;44;802;386,29;16,10;10056;24;52;64;68;76;84;84
4;2;24;802;421,18;17,55;5768;8;12;32;44;48;64;68
3;3;41;802;377,87;15,74;7688;16;32;40;44;52;56;60
4;3;13;802;435,50;18,15;2256;0;4;12;20;20;24;32
3;4;26;802;371,20;15,47;2696;4;16;20;20;20;20;20
3;3;32;802;381,71;15,90;6960;16;24;32;48;48;52;56
4;3;45;802;377,60;15,73;7704;24;32;48;48;56;56;60
3;1;31;802;337,75;14,07;10768;44;52;60;64;64;64;64
4;3;45;802;370,55;15,44;5960;24;32;32;36;40;40;44
3;3;24;802;346,67;14,44;3824;16;16;16;20;24;24;24
3;4;14;802;373,82;15,58;5816;16;24;28;40;44;44;44
3;1;41;802;359,37;14,97;11144;44;52;64;72;76;76;76
4;3;34;802;353,60;14,73;12192;52;64;76;76;76;76;80
4;3;24;802;404,36;16,85;4472;8;12;28;32;32;44;44
4;2;46;802;398,29;16,60;6032;4;20;32;48;56;56;56
4;3;36;802;367,20;15,30;5552;20;20;28;32;36;40;40
4;1;42;802;387,20;16,13;7128;20;28;48;52;56;56;60
4;3;46;802;354,93;14,79;9064;40;56;56;56;56;60;60
3;3;22;802;370,86;15,45;3784;4;20;24;28;28;28;28
4;4;14;802;377,65;15,74;8728;24;40;52;60;60;64;68
4;2;16;802;382,80;15,95;4928;12;16;20;28;36;36;40
4;1;15;802;347,33;14,47;3808;16;16;20;20;20;20;24
4;2;35;802;405,20;16,88;4032;8;20;20;24;32;40;40
4;3;45;802;380,00;15,83;2520;8;8;8;16;20;20;20
3;2;32;802;405,50;16,90;3216;8;12;16;24;28;32;32
3;1;36;802;388,00;16,17;6136;20;24;36;40;48;52;52
3;2;12;802;392,73;16,36;4984;8;16;24;32;40;44;44
4;2;11;802;406,78;16,95;9128;16;28;32;68;72;80;92
4;4;46;802;409,33;17,06;6960;12;28;40;52;56;68;72
4;1;16;802;372,00;15,50;7504;16;32;36;44;56;56;56
4;4;35;802;411,67;17,15;4528;8;16;24;32;40;40;48
4;4;15;802;385,33;16,06;4344;12;28;28;32;32;32;36
3;3;44;802;394,00;16,42;4480;8;12;28;32;36;40;40
4;2;31;802;400,00;16,67;3816;8;8;16;28;32;36;36
3;2;41;802;401,00;16,71;5040;12;16;28;36;40;44;48
3;3;12;802;374,77;15,62;6824;16;28;40;48;52;52;52
4;4;26;802;409,54;17,06;5016;4;24;32;36;40;44;52
3;3;44;802;403,69;16,82;5320;8;24;36;36;40;48;52
4;2;25;802;426,00;17,75;3840;0;12;16;28;36;40;48
4;1;14;802;380,86;15,87;7008;16;28;36;44;52;56;56
4;1;32;802;357,65;14,90;10088;24;56;64;64;64;64;68
4;3;12;802;366,10;15,25;11752;52;56;64;76;80;84;84
3;1;33;802;378,35;15,76;8680;24;48;48;60;64;68;68
4;1;43;802;400,80;16,70;4208;8;16;24;24;32;36;40
3;1;41;802;356,00;14,83;6600;28;32;36;40;40;40;44
3;1;13;802;414,77;17,28;4744;8;16;20;28;44;48;52
3;1;36;802;394,13;16,42;6712;20;28;36;48;56;56;60
4;3;16;802;429,23;17,88;3992;8;12;20;28;32;40;52
3;2;14;802;406,91;16,95;4360;8;8;28;28;32;44;44
3;4;13;802;362,29;15,10;4024;8;24;24;24;28;28;28
4;2;15;802;438,40;18,27;1352;0;0;8;8;12;20;20
4;3;12;802;428,50;17,85;2480;4;4;16;16;20;32;32
