Bancs;camera;zone;Pop;5_degres_C_TMG_h;5_degres_C_TMG_j;Aire_sous_la_courbe;15_j;16 _j;17_j;18 _j;19_j ;20 _j;21_j
3;1;11;Témoin;414,00;17,25;2652;4;16;20;24;32;36;40
3;2;11;Témoin;430,86;17,95;2652;0;4;4;12;24;28;28
3;3;11;Témoin;382,86;15,95;2652;8;12;20;20;20;24;28
3;4;11;Témoin;420,00;17,50;2652;4;4;4;4;12;16;16
4;1;11;Témoin;432,89;18,04;2646;4;4;16;16;24;32;36
4;2;11;Témoin;413,82;17,24;2646;8;12;20;32;36;36;44
4;3;11;Témoin;446,80;18,62;2646;4;4;8;16;20;24;40
4;4;11;Témoin;429,60;17,90;2646;0;0;8;8;12;20;20
3;1;11;Témoin;354,22;14,76;5731,2;16;28;28;32;36;36;36
3;2;26;Témoin;377,78;15,74;5731,2;12;20;20;20;32;36;36
3;3;31;Témoin;382,93;15,96;5731,2;20;32;40;52;56;56;60
3;4;46;Témoin;386,91;16,12;5731,2;8;24;32;36;36;36;44
3;3;31;Témoin;382,00;15,92;5731,2;16;24;40;40;44;44;48
4;1;11;Témoin;369,60;15,40;5536;8;16;32;36;40;40;40
4;2;36;Témoin;407,20;16,97;2016;0;8;12;16;20;20;20
4;3;21;Témoin;419,56;17,48;3184;4;8;12;24;32;32;36
4;4;46;Témoin;416,00;17,33;2944;8;12;16;16;24;32;32
4;2;26;Témoin;393,54;16,40;5952;4;24;32;36;44;48;52
3;1;41;Témoin;399,43;16,64;3126,4;4;12;20;20;24;28;28
3;2;36;Témoin;405,78;16,91;3126,4;8;16;20;24;32;32;36
3;3;21;Témoin;387,43;16,14;3126,4;12;20;20;24;24;28;28
3;4;16;Témoin;409,60;17,07;3126,4;0;4;12;16;16;20;20
3;3;21;Témoin;411,20;17,13;3126,4;4;8;24;32;32;40;40
3;2;36;Témoin;381,14;15,88;2504;8;16;24;28;28;28;28
3;3;21;Témoin;380,00;15,83;2352;4;4;12;12;12;12;12
3;1;11;Témoin;435,33;18,14;1868;0;0;8;12;20;20;24
3;3;31;Témoin;404,00;16,83;1868;4;8;16;16;16;16;20
4;1;41;Témoin;396,00;16,50;2240;4;4;8;16;20;20;20
4;2;26;Témoin;434,00;18,08;1776;0;4;4;12;20;20;24
4;3;31;Témoin;395,00;16,46;1808;8;8;8;12;12;12;16
4;4;16;Témoin;397,00;16,54;3552;4;12;20;28;28;28;32
4;2;36;Témoin;432,50;18,02;2416;4;12;12;16;16;24;32
4;2;26;Témoin;488,00;20,33;160;0;0;0;0;0;4;8
4;3;31;Témoin;372,00;15,50;2720;12;12;12;12;12;20;20
4;2;36;Témoin;410,67;17,11;4248;4;8;16;28;36;36;36
4;4;46;Témoin;365,33;15,22;4248;12;20;28;32;36;36;36
3;1;14;803;408,00;17,00;2352;0;4;16;20;20;24;24
3;1;32;803;397,14;16,55;3048;8;8;16;24;28;28;28
3;1;25;803;385,67;16,07;5776;20;24;32;36;40;44;48
4;4;44;803;426,50;17,77;2544;4;12;16;16;20;20;32
4;4;41;803;416,00;17,33;2880;0;4;12;20;32;32;32
3;1;26;803;388,86;16,20;6560;8;28;32;40;52;56;56
4;4;43;803;400,80;16,70;4208;8;16;24;28;36;40;40
4;1;23;803;444,57;18,52;1720;4;4;8;12;12;16;28
3;3;12;803;391,00;16,29;5520;20;24;28;36;44;44;48
4;2;41;803;408,00;17,00;3920;8;16;20;20;32;32;40
3;4;45;803;397,71;16,57;6064;4;24;44;44;48;56;56
4;4;24;803;384,00;16,00;5856;16;36;40;40;40;48;48
3;3;32;803;395,25;16,47;7088;16;36;44;48;52;60;64
3;2;25;803;378,15;15,76;6648;20;32;44;48;52;52;52
3;4;12;803;418,40;17,43;1752;0;4;12;16;16;16;20
3;2;12;803;391,14;16,30;6432;24;24;28;44;48;56;56
3;4;45;803;401,14;16,71;2936;0;12;20;24;28;28;28
3;1;42;803;382,13;15,92;7432;16;32;52;52;56;60;60
3;4;15;803;406,29;16,93;5584;12;16;28;48;48;52;56
3;2;34;803;388,00;16,17;4248;12;20;20;20;36;36;36
3;4;34;803;415,33;17,31;4352;0;12;24;36;40;44;48
4;3;25;803;416,57;17,36;2504;0;8;16;16;24;28;28
4;4;26;803;378,67;15,78;6112;12;24;40;44;44;48;48
4;3;43;803;364,00;15,17;4544;16;16;20;24;28;28;32
3;1;31;803;332,00;13,83;696;4;4;4;4;4;4;4
3;2;14;803;353,78;14,74;5480;12;20;32;36;36;36;36
3;3;46;803;394,86;16,45;3112;4;12;20;24;28;28;28
3;3;35;803;384,00;16,00;4392;12;28;28;32;32;32;36
4;3;33;803;422,00;17,58;2688;0;4;12;20;28;32;32
3;1;34;803;411,20;17,13;1896;4;8;8;12;12;20;20
3;2;16;803;408,50;17,02;3120;4;8;16;24;28;28;32
4;2;16;803;357,33;14,89;1784;8;12;12;12;12;12;12
3;4;26;803;410,67;17,11;1144;0;8;8;8;8;12;12
3;4;33;803;414,22;17,26;3304;4;12;16;24;28;32;36
3;3;15;803;418,55;17,44;3848;0;8;16;32;40;44;44
4;2;44;803;437,33;18,22;2472;4;4;8;16;16;24;36
3;3;35;803;383,60;15,98;4896;12;24;36;36;36;40;40
3;1;24;803;345,00;14,38;5152;12;16;24;28;32;32;32
4;2;44;803;386,67;16,11;2864;8;8;12;20;24;24;24
4;1;24;803;386,35;16,10;8136;24;36;48;64;64;64;68
4;3;16;803;403,33;16,81;7392;20;24;40;48;60;60;72
4;1;23;803;387,00;16,13;3808;12;12;20;24;28;28;32
3;2;21;803;446,55;18,61;2616;0;4;4;12;28;40;44
4;2;14;803;460,00;19,17;552;0;0;0;4;8;8;12
4;1;22;803;386,15;16,09;6232;12;24;40;48;48;52;52
3;3;13;803;414,67;17,28;2192;4;4;12;12;20;24;24
4;2;12;803;404,00;16,83;408;0;0;4;4;4;4;4
3;2;11;803;403,00;16,79;1648;0;8;12;12;12;16;16
3;2;23;803;386,50;16,10;7648;4;20;48;56;60;64;64
3;1;14;803;404,27;16,84;6104;16;20;28;44;52;52;60
3;1;25;803;395,20;16,47;4432;8;20;24;32;32;36;40
3;2;45;803;386,00;16,08;3840;8;12;20;32;32;32;32
3;1;21;803;374,46;15,60;6840;24;32;36;44;44;48;52
4;1;26;803;413,20;17,22;3712;4;12;20;32;32;36;40
4;4;16;803;400,33;16,68;5072;16;20;24;32;44;48;48
3;2;44;803;364,50;15,19;4528;12;28;28;28;32;32;32
4;1;31;803;382,00;15,92;3968;12;20;28;28;32;32;32
3;4;44;803;359,40;14,98;11728;40;64;76;80;80;80;80
4;3;21;803;356,25;14,84;9584;32;52;52;56;64;64;64
3;2;46;803;373,09;15,55;5848;16;32;36;44;44;44;44
4;3;41;803;382,00;15,92;6944;12;32;40;56;56;56;56
3;1;44;803;374,22;15,59;4744;20;24;28;28;32;32;36
3;1;22;803;369,07;15,38;8216;28;36;56;56;60;60;60
4;4;41;803;385,56;16,06;8672;32;40;52;56;60;64;72
4;2;13;803;403,38;16,81;5336;0;16;36;44;44;52;52
3;3;23;803;384,24;16,01;8280;24;36;48;56;64;68;68
4;4;12;803;405,50;16,90;6432;12;20;44;48;56;60;64
4;2;42;803;399,47;16,64;6392;8;24;40;48;56;60;60
4;3;31;803;372,50;15,52;4272;12;12;20;28;28;32;32
4;3;35;803;313,00;13,04;3088;8;12;12;12;12;16;16
4;1;31;803;419,00;17,46;4176;4;16;24;32;32;44;48
3;2;31;803;405,54;16,90;5224;4;12;28;40;48;52;52
4;2;33;803;433,33;18,06;872;0;0;0;8;8;12;12
3;1;42;803;394,00;16,42;3584;4;12;24;28;32;32;32
4;3;24;803;423,33;17,64;1984;0;4;12;16;20;20;24
3;4;23;803;393,71;16,40;6288;12;16;32;44;48;52;56
3;3;25;803;373,33;15,56;7960;24;40;40;52;60;60;60
4;2;45;803;401,09;16,71;4616;8;12;20;24;32;44;44
3;1;15;803;392,67;16,36;5440;16;20;36;40;44;48;48
3;2;13;803;389,71;16,24;3256;4;8;24;28;28;28;28
4;3;42;803;372,86;15,54;7456;16;28;40;48;52;56;56
4;4;24;803;388,00;16,17;6608;16;32;40;44;44;56;56
3;4;25;803;404,00;16,83;4488;8;12;20;32;36;44;44
3;3;36;803;381,25;15,89;7984;20;32;44;52;56;60;64
3;1;43;803;367,56;15,31;4984;12;28;32;36;36;36;36
3;1;33;803;410,40;17,10;1912;4;4;8;12;20;20;20
3;2;26;803;372,73;15,53;5864;12;24;32;40;40;44;44
4;3;22;803;410,00;17,08;3072;0;8;16;24;32;32;32
3;3;41;803;344,33;14,35;7760;36;44;48;48;48;48;48
4;4;24;803;410,00;17,08;2304;4;4;12;20;24;24;24
3;3;25;803;360,00;15,00;8176;28;40;48;56;56;56;56
3;2;21;803;397,50;16,56;6944;16;28;36;52;56;64;64
3;3;24;803;376,92;15,71;6712;12;32;40;52;52;52;52
3;3;42;803;392,50;16,35;3632;8;12;16;24;28;32;32
3;2;41;803;399,56;16,65;3832;12;12;20;24;28;28;36
4;2;25;803;460,00;19,17;184;0;0;0;0;0;4;4
4;4;34;803;415,67;17,32;4336;16;16;20;28;32;40;48
3;1;16;803;381,33;15,89;5984;12;28;40;44;48;48;48
4;3;25;803;396,50;16,52;3504;0;12;24;28;32;32;32
3;1;14;803;379,60;15,82;5056;20;28;32;36;36;36;40
4;4;31;803;382,86;15,95;3448;16;16;16;20;28;28;28
4;3;26;803;394,18;16,42;4920;12;24;28;32;40;44;44
3;4;32;803;359,11;14,96;5288;20;24;32;32;36;36;36
3;1;35;803;362,67;15,11;3440;4;20;24;24;24;24;24
3;4;16;803;369,14;15,38;7664;32;40;48;48;48;52;56
4;3;26;803;374,74;15,61;9976;32;44;68;76;76;76;76
4;2;21;803;373,00;15,54;4256;16;20;24;28;32;32;32
4;2;45;803;413,67;17,24;4432;4;12;24;32;36;40;48
3;3;45;803;399,14;16,63;5984;12;24;36;40;48;52;56
3;2;32;803;386,40;16,10;4784;20;28;28;32;32;36;40
3;3;43;803;377,14;15,71;7216;20;28;48;52;56;56;56
4;4;13;803;425,75;17,74;5136;8;12;16;36;48;60;64
4;2;41;803;366,57;15,27;7808;20;28;44;52;56;56;56
4;4;34;803;380,71;15,86;8520;28;44;52;60;64;64;68
3;4;22;803;385,40;16,06;9648;20;36;56;60;68;76;80
4;3;23;803;369,05;15,38;10408;40;44;56;64;68;76;76
4;3;13;803;392,67;16,36;2720;4;12;12;20;24;24;24
3;4;43;803;411,33;17,14;4544;4;12;20;36;40;44;48
3;2;21;803;396,00;16,50;3080;8;16;16;24;28;28;28
4;4;25;803;431,20;17,97;2992;0;12;16;16;24;36;40
3;3;26;803;383,50;15,98;3920;16;16;20;20;32;32;32
4;3;15;803;389,60;16,23;4656;8;20;28;32;40;40;40
3;3;45;803;365,45;15,23;12368;40;64;84;88;88;88;88
4;3;41;803;354,35;14,76;10312;36;48;60;64;64;68;68
4;3;36;803;404,00;16,83;3264;8;12;20;20;28;28;32
4;1;15;803;405,60;16,90;4016;4;16;24;28;32;36;40
4;1;16;803;370,80;15,45;5408;16;24;32;36;40;40;40
4;1;46;803;390,40;16,27;2312;0;8;16;20;20;20;20
3;4;41;803;364,00;15,17;4544;16;20;20;24;28;28;32
4;3;34;803;422,00;17,58;1344;0;0;4;12;16;16;16
3;1;11;803;388,00;16,17;5192;20;20;24;32;36;44;44
4;4;45;803;412,67;17,19;2240;4;8;8;16;20;24;24
3;1;43;803;386,55;16,11;5256;20;20;32;36;40;44;44
4;4;42;803;418,29;17,43;2456;0;8;16;16;20;24;28
3;1;13;803;362,86;15,12;8016;28;44;48;52;56;56;56
3;4;24;803;394,67;16,44;4008;12;16;24;28;28;36;36
3;2;43;803;402,18;16,76;4568;12;24;28;32;36;36;44
3;4;41;803;378,40;15,77;5104;12;20;28;40;40;40;40
3;2;33;803;371,43;15,48;7536;32;44;48;48;52;56;56
4;4;35;803;392,00;16,33;5928;8;24;36;44;52;52;52
4;1;22;803;389,33;16,22;7000;12;32;36;52;52;56;60
3;3;13;803;371,47;15,48;8072;32;44;48;52;56;60;60
3;1;46;803;404,57;16,86;2840;8;12;20;20;24;24;28
3;4;11;803;414,67;17,28;2192;0;4;16;16;24;24;24
3;3;23;803;399,71;16,65;5952;8;20;36;44;56;56;56
3;4;15;803;368,73;15,36;6040;16;28;32;32;40;44;44
4;1;12;803;361,45;15,06;6360;16;28;40;44;44;44;44
4;2;31;803;372,36;15,52;5880;24;36;36;40;44;44;44
3;3;33;803;379,71;15,82;7072;28;36;44;48;52;52;56
4;4;32;803;385,07;16,04;7256;12;32;44;56;56;60;60
3;4;25;803;395,29;16,47;7528;16;32;36;40;56;60;68
4;2;15;803;404,27;16,84;6104;4;20;28;52;56;60;60
3;1;21;803;367,00;15,29;4448;8;20;28;28;28;32;32
3;2;22;803;392,00;16,33;5928;12;20;36;48;48;52;52
3;3;32;803;396,67;16,53;5248;12;24;28;32;40;48;48
3;4;23;803;388,29;16,18;6592;24;24;44;44;48;52;56
4;4;44;803;368,47;15,35;9352;40;44;56;56;60;64;68
3;2;31;803;366,40;15,27;8376;20;40;48;52;56;56;60
3;2;36;803;408,33;17,01;4688;4;8;32;36;36;40;48
3;4;31;803;400,00;16,67;6360;20;28;36;44;52;52;60
3;3;33;803;377,60;15,73;5136;16;20;32;36;40;40;40
4;4;13;803;389,71;16,24;3256;8;12;16;28;28;28;28
4;4;34;803;424,00;17,67;2952;0;8;20;24;28;28;36
3;4;13;803;371,50;15,48;8608;32;44;52;60;64;64;64
4;3;15;803;362,00;15,08;9216;28;52;56;56;64;64;64
4;3;22;803;376,67;15,69;3104;8;16;20;20;20;20;24
4;1;34;803;393,85;16,41;5832;28;28;28;36;44;52;52
3;4;46;803;353,88;14,75;10344;48;48;60;68;68;68;68
4;3;22;803;356,21;14,84;11384;48;60;68;72;76;76;76
4;3;14;803;433,14;18,05;2040;0;4;12;12;16;24;28
3;2;23;803;373,20;15,55;5312;16;32;36;36;40;40;40
4;2;32;803;367,08;15,29;7224;20;20;36;48;52;52;52
3;3;23;803;371,27;15,47;5928;20;24;32;36;36;44;44
3;4;31;803;381,71;15,90;3480;8;12;24;24;28;28;28
4;4;11;803;384,00;16,00;1952;8;8;12;12;16;16;16
4;1;41;803;406,00;16,92;2400;4;4;12;16;20;24;24
3;2;43;803;349,00;14,54;7536;32;44;44;48;48;48;48
3;3;16;803;380,67;15,86;3008;8;12;20;20;24;24;24
3;4;24;803;401,14;16,71;2936;8;16;20;20;20;24;28
3;2;14;803;420,00;17,50;2408;4;8;8;12;24;28;28
3;2;36;803;379,20;15,80;5072;8;20;32;40;40;40;40
3;2;26;803;368,63;15,36;10440;36;56;64;72;72;76;76
4;3;14;803;383,43;15,98;10296;24;44;68;72;76;80;84
4;2;43;803;404,44;16,85;3656;8;12;16;20;36;36;36
3;4;12;803;360,44;15,02;10480;32;48;60;60;64;72;72
4;3;32;803;367,76;15,32;9400;24;60;60;64;68;68;68
4;1;13;803;374,29;15,60;3688;8;12;20;28;28;28;28
4;2;13;803;446,00;18,58;2400;0;0;4;12;24;40;40
3;1;22;803;397,71;16,57;3032;0;12;20;24;28;28;28
4;4;41;803;416,80;17,37;3568;4;16;20;24;32;40;40
4;1;45;803;410,86;17,12;2664;8;8;12;16;24;28;28
3;1;23;803;395,20;16,47;2216;8;8;16;16;16;16;20
3;4;42;803;376,00;15,67;2080;4;12;12;16;16;16;16
3;1;36;803;402,15;16,76;5400;12;28;28;36;44;44;52
4;2;24;803;437,20;18,22;2752;0;8;8;16;28;36;40
3;1;16;803;374,29;15,60;3688;12;20;20;20;24;28;28
3;1;15;803;351,00;14,63;4960;16;28;28;28;28;32;32
3;3;46;803;430,00;17,92;1216;0;0;4;8;16;16;16
3;2;24;803;413,43;17,23;5184;4;20;24;32;48;56;56
4;1;21;803;353,71;14,74;12792;32;44;60;72;76;84;84
4;3;42;803;335,60;13,98;13632;56;56;72;76;76;76;80
4;3;35;803;406,00;16,92;7200;8;32;40;56;60;64;72
4;2;35;803;404,57;16,86;5680;12;16;24;36;44;56;56
3;1;23;803;388,50;16,19;7520;16;28;40;56;64;64;64
3;3;43;803;388,25;16,18;7536;20;28;36;52;60;64;64
4;2;23;803;419,80;17,49;6896;4;16;32;56;64;72;80
3;1;13;803;378,10;15,75;10744;44;52;60;64;72;80;84
4;3;25;803;378,82;15,78;8648;24;40;60;64;64;64;68
3;2;12;803;366,46;15,27;7256;16;32;36;48;52;52;52
3;1;26;803;342,13;14,26;9832;32;40;52;56;60;60;60
3;2;13;803;347,14;14,46;8896;28;48;56;56;56;56;56
4;4;12;803;379,50;15,81;8096;16;36;56;60;64;64;64
4;1;34;803;435,53;18,15;4792;0;12;24;36;44;52;68
3;2;33;803;366,59;15,27;9480;24;32;44;64;64;64;68
4;4;25;803;394,74;16,45;8456;16;32;36;68;76;76;76
3;2;41;803;391,33;16,31;8256;24;32;52;64;64;72;72
4;4;42;803;417,23;17,38;4616;12;16;24;32;36;44;52
3;1;46;803;374,40;15,60;7896;28;36;48;52;56;56;60
4;2;33;803;405,78;16,91;7216;12;24;28;44;60;72;72
3;2;46;803;376,38;15,68;10888;28;48;56;80;84;84;84
4;4;22;803;377,71;15,74;10776;40;52;72;76;84;84;84
3;1;35;803;374,00;15,58;10560;28;52;64;76;80;80;80
4;3;24;803;396,00;16,50;7920;20;36;44;60;68;68;72
4;1;33;830;369,75;15,41;8720;28;36;48;52;64;64;64
3;1;33;830;395,29;16,47;7528;16;24;36;52;52;64;68
4;2;13;830;368,57;15,36;7696;36;40;48;52;52;52;56
3;1;13;830;376,71;15,70;8792;36;40;44;52;60;68;68
4;4;15;830;378,32;15,76;9704;32;48;60;64;72;76;76
4;3;14;830;359,25;14,97;9392;32;52;56;60;60;64;64
4;4;16;830;372,89;15,54;9584;32;40;60;68;72;72;72
3;3;24;830;381,43;15,89;6976;16;28;36;56;56;56;56
3;4;42;830;380,31;15,85;6536;24;24;36;40;48;52;52
3;4;23;830;355,25;14,80;9648;40;52;56;60;60;64;64
3;4;44;830;391,33;16,31;5504;12;28;36;40;44;44;48
3;4;34;830;413,60;17,23;5544;12;16;24;40;48;52;60
3;4;13;830;412,36;17,18;4120;4;16;20;24;40;44;44
4;4;33;830;382,22;15,93;8912;24;48;56;60;64;64;72
3;3;45;830;371,14;15,46;7552;20;32;44;48;52;56;56
4;1;35;830;381,54;15,90;6472;28;32;40;44;52;52;52
3;4;41;830;419,43;17,48;4848;8;16;24;36;44;48;56
4;3;22;830;395,14;16,46;6208;8;28;36;48;48;56;56
3;4;33;830;344,00;14,33;9072;28;44;48;52;56;56;56
3;3;26;830;361,00;15,04;6960;28;32;36;48;48;48;48
4;3;16;830;324,53;13,52;10888;36;44;48;56;60;60;60
3;1;43;830;354,93;14,79;9064;36;40;52;52;56;56;60
4;1;31;830;320,25;13,34;11888;48;48;52;52;60;60;64
3;3;15;830;321,71;13,40;10320;40;40;40;44;48;56;56
3;1;26;830;356,29;14,85;8384;24;32;40;44;52;52;56
4;3;45;830;327,47;13,64;10712;40;40;44;48;48;56;60
4;3;44;830;296,75;12,36;13392;52;52;60;64;64;64;64
3;3;32;830;328,80;13,70;10632;36;44;52;52;52;60;60
4;3;35;830;360,47;15,02;9896;20;48;52;56;64;68;68
4;1;34;830;358,91;14,95;6472;20;28;32;44;44;44;44
3;1;24;830;364,53;15,19;8488;28;36;48;52;56;60;60
3;4;45;830;368,86;15,37;7680;20;36;40;48;52;52;56
3;3;34;830;437,07;18,21;4136;0;8;20;36;40;44;60
3;2;16;830;355,14;14,80;8448;28;48;52;52;56;56;56
4;1;22;830;404,00;16,83;3264;8;8;16;28;32;32;32
4;1;12;830;405,00;16,88;8080;16;32;48;60;68;76;80
4;1;16;830;386,29;16,10;6704;12;32;48;52;52;52;56
3;1;42;830;379,71;15,82;7072;16;32;44;52;52;56;56
3;4;21;830;410,15;17,09;4984;12;20;28;36;40;44;52
