COLL_NOM;COLL_INSEE;ENFANT_SEXE;ENFANT_PRENOM;NOMBRE_OCCURENCES;﻿ANNEE
ANGERS;49007;M;Soan;10;2015
ANGERS;49007;M;Benjamin;8;2015
ANGERS;49007;M;David;8;2015
ANGERS;49007;M;Tristan;6;2015
ANGERS;49007;M;Léopold;5;2015
ANGERS;49007;M;Loris;7;2017
ANGERS;49007;M;Elliot;6;2017
ANGERS;49007;M;Corentin;4;2017
ANGERS;49007;M;Evan;12;2018
ANGERS;49007;M;Aurèle;4;2018
ANGERS;49007;F;Hortense;7;2017
ANGERS;49007;F;Justine;4;2017
ANGERS;49007;F;Kayla;4;2017
ANGERS;49007;F;Rose;23;2018
ANGERS;49007;F;Ambre;22;2018
ANGERS;49007;M;Timéo;33;2014
ANGERS;49007;M;Léandre;13;2014
ANGERS;49007;M;Noa;7;2015
ANGERS;49007;M;Nathanaël;6;2015
ANGERS;49007;M;Raphaël;37;2017
ANGERS;49007;M;Liam;24;2017
ANGERS;49007;M;Valentin;21;2017
ANGERS;49007;M;Noah;20;2018
ANGERS;49007;M;Joseph;11;2018
ANGERS;49007;M;Ulysse;11;2018
ANGERS;49007;M;Owen;8;2018
ANGERS;49007;M;Amaury;4;2018
ANGERS;49007;F;Léonie;20;2013
ANGERS;49007;F;Garance;10;2013
ANGERS;49007;F;Amélie;4;2013
ANGERS;49007;F;Zoé;34;2014
ANGERS;49007;F;Sarah;20;2014
ANGERS;49007;F;Noémie;15;2014
ANGERS;49007;F;Constance;13;2014
ANGERS;49007;F;Eden;10;2014
ANGERS;49007;F;Lilia;5;2014
ANGERS;49007;F;Jade;38;2015
ANGERS;49007;F;Inès;29;2015
ANGERS;49007;F;Rose;21;2015
ANGERS;49007;F;Mya;12;2015
ANGERS;49007;F;Célia;8;2015
ANGERS;49007;F;Laly;8;2015
ANGERS;49007;F;Jade;37;2016
ANGERS;49007;F;Camille;28;2016
ANGERS;49007;F;Romane;20;2016
ANGERS;49007;F;Emy;15;2017
ANGERS;49007;F;Olivia;10;2017
ANGERS;49007;F;Khadidja;4;2017
ANGERS;49007;F;Zoé;20;2018
ANGERS;49007;F;Clémence;19;2018
ANGERS;49007;F;Eléna;10;2018
ANGERS;49007;F;Sarah;8;2018
ANGERS;49007;F;Victoire;8;2018
ANGERS;49007;M;Thomas;15;2013
ANGERS;49007;M;Morgan;4;2013
ANGERS;49007;M;Thyméo;4;2013
ANGERS;49007;M;Léo;47;2014
ANGERS;49007;M;Axel;29;2015
ANGERS;49007;M;Tao;4;2015
ANGERS;49007;M;Paul;38;2016
ANGERS;49007;M;Augustin;21;2017
ANGERS;49007;M;Tiago;17;2017
ANGERS;49007;M;Roméo;5;2017
ANGERS;49007;M;Marcel;4;2017
ANGERS;49007;M;Maël;27;2018
ANGERS;49007;M;Victor;17;2018
ANGERS;49007;M;Matéo;4;2018
ANGERS;49007;M;Henri;4;2016
ANGERS;49007;M;Joris;4;2016
ANGERS;49007;F;Ambre;29;2013
ANGERS;49007;F;Laura;9;2013
ANGERS;49007;F;Alix;7;2013
ANGERS;49007;F;Sara;6;2013
ANGERS;49007;F;Blanche;4;2013
ANGERS;49007;F;Mila;15;2014
ANGERS;49007;F;Nina;11;2014
ANGERS;49007;F;Apolline;7;2014
ANGERS;49007;F;Angèle;5;2014
ANGERS;49007;F;Garance;5;2014
ANGERS;49007;F;Maïa;5;2014
ANGERS;49007;F;Louison;4;2014
ANGERS;49007;F;Solène;4;2014
ANGERS;49007;F;Zoé;24;2015
ANGERS;49007;F;Lilou;21;2015
ANGERS;49007;F;Louisa;15;2015
ANGERS;49007;F;Lison;10;2015
ANGERS;49007;F;Elsa;9;2015
ANGERS;49007;F;Inaya;9;2015
ANGERS;49007;F;Olivia;9;2015
ANGERS;49007;F;Aya;8;2015
ANGERS;49007;F;Diane;6;2015
ANGERS;49007;F;Lylou;6;2015
ANGERS;49007;F;Emma;35;2016
ANGERS;49007;F;Elya;6;2017
ANGERS;49007;F;Naëlle;6;2017
ANGERS;49007;F;Mia;14;2018
ANGERS;49007;F;Coline;6;2018
ANGERS;49007;F;Asma;5;2018
ANGERS;49007;F;Emilie;5;2018
ANGERS;49007;F;Aminata;4;2018
ANGERS;49007;F;Elyna;4;2018
ANGERS;49007;F;Lucile;4;2018
ANGERS;49007;M;Basile;11;2013
ANGERS;49007;M;Malo;9;2013
ANGERS;49007;M;Milan;7;2013
ANGERS;49007;M;Mahé;8;2015
ANGERS;49007;M;Naël;12;2016
ANGERS;49007;M;Lenny;8;2016
ANGERS;49007;F;Anaïs;13;2016
ANGERS;49007;F;Sofia;10;2016
ANGERS;49007;F;Lya;7;2016
ANGERS;49007;F;Léane;6;2016
ANGERS;49007;F;Julia;24;2017
ANGERS;49007;M;Soan;11;2014
ANGERS;49007;M;Bastien;10;2014
ANGERS;49007;M;Augustin;9;2014
ANGERS;49007;M;Yanis;8;2014
ANGERS;49007;M;Benjamin;6;2014
ANGERS;49007;M;Mylan;5;2015
ANGERS;49007;M;Marcel;4;2014
ANGERS;49007;M;Erwan;6;2013
ANGERS;49007;M;Diego;5;2013
ANGERS;49007;M;Eliot;5;2013
ANGERS;49007;M;Isaac;5;2013
ANGERS;49007;M;Marcel;5;2013
ANGERS;49007;M;Logan;4;2013
ANGERS;49007;M;Lucien;4;2013
ANGERS;49007;M;Armand;7;2016
ANGERS;49007;M;Roméo;6;2016
ANGERS;49007;M;Samuel;6;2016
ANGERS;49007;M;Pierre;6;2017
ANGERS;49007;M;Ernest;5;2017
ANGERS;49007;M;Léandre;13;2018
ANGERS;49007;M;Mathéo;11;2018
ANGERS;49007;M;Mohamed;7;2018
ANGERS;49007;M;Idriss;6;2018
ANGERS;49007;F;Lison;9;2016
ANGERS;49007;F;Lila;7;2016
ANGERS;49007;F;Eloïse;5;2016
ANGERS;49007;F;Lily;5;2016
ANGERS;49007;F;Coline;4;2016
ANGERS;49007;F;Jeanne;30;2017
ANGERS;49007;F;Faustine;14;2017
ANGERS;49007;F;Lina;12;2017
ANGERS;49007;F;Louisa;11;2017
ANGERS;49007;F;Louane;9;2017
ANGERS;49007;F;Norah;9;2017
ANGERS;49007;F;Alicia;5;2017
ANGERS;49007;F;Héloïse;5;2017
ANGERS;49007;F;Malak;4;2017
ANGERS;49007;F;Yuna;4;2017
ANGERS;49007;F;Elyana;4;2018
ANGERS;49007;F;Evie;4;2018
ANGERS;49007;F;Giulia;4;2018
ANGERS;49007;F;Lily;4;2018
ANGERS;49007;M;Ethan;32;2013
ANGERS;49007;M;Alexandre;13;2013
ANGERS;49007;M;Nino;10;2013
ANGERS;49007;M;Hugo;45;2014
ANGERS;49007;M;Gabriel;41;2014
ANGERS;49007;M;Sacha;32;2014
ANGERS;49007;M;Simon;17;2014
ANGERS;49007;M;Marin;9;2014
ANGERS;49007;M;Sohan;8;2014
ANGERS;49007;M;Paulin;5;2014
ANGERS;49007;M;Simon;20;2015
ANGERS;49007;M;Thibault;7;2015
ANGERS;49007;M;Marius;45;2016
ANGERS;49007;M;Liam;20;2016
ANGERS;49007;M;Nino;12;2016
ANGERS;49007;F;Lou;16;2013
ANGERS;49007;F;Lily;9;2013
ANGERS;49007;F;Lila;7;2013
ANGERS;49007;F;Océane;7;2013
ANGERS;49007;F;Charline;6;2013
ANGERS;49007;F;Cléa;6;2013
ANGERS;49007;F;Faustine;6;2013
ANGERS;49007;F;Olivia;5;2013
ANGERS;49007;F;Andréa;4;2013
ANGERS;49007;F;Thaïs;18;2014
ANGERS;49007;F;Lucie;13;2014
ANGERS;49007;F;Lana;12;2014
ANGERS;49007;F;Justine;9;2014
ANGERS;49007;F;Lya;9;2014
ANGERS;49007;F;Albane;6;2014
ANGERS;49007;F;Méline;5;2014
ANGERS;49007;F;Aliya;4;2014
ANGERS;49007;F;Lyana;4;2014
ANGERS;49007;F;Agathe;21;2015
ANGERS;49007;F;Clémentine;6;2015
ANGERS;49007;F;Alicia;4;2015
ANGERS;49007;F;Eléonore;4;2015
ANGERS;49007;F;Inès;25;2016
ANGERS;49007;M;Côme;6;2016
ANGERS;49007;M;Abel;5;2016
ANGERS;49007;M;Aubin;5;2016
ANGERS;49007;M;Daniel;4;2016
ANGERS;49007;M;Loïs;9;2017
ANGERS;49007;M;Elie;5;2018
ANGERS;49007;M;Elias;4;2013
ANGERS;49007;M;Nathan;30;2014
ANGERS;49007;M;Maxime;20;2014
ANGERS;49007;M;Owen;7;2014
ANGERS;49007;M;Léopold;4;2014
ANGERS;49007;M;William;4;2014
ANGERS;49007;M;Titouan;16;2015
ANGERS;49007;M;Lyam;10;2015
ANGERS;49007;M;Lubin;5;2015
ANGERS;49007;M;Loïs;5;2016
ANGERS;49007;M;Jules;25;2017
ANGERS;49007;M;Clément;16;2017
ANGERS;49007;M;Louison;15;2017
ANGERS;49007;M;Naël;15;2017
ANGERS;49007;M;Alexandre;8;2017
ANGERS;49007;M;Gabriel;41;2018
ANGERS;49007;M;Marius;22;2018
ANGERS;49007;M;Timéo;19;2018
ANGERS;49007;M;Maxence;12;2018
ANGERS;49007;M;Eloi;6;2018
ANGERS;49007;M;Mahé;6;2018
ANGERS;49007;M;Alix;5;2018
ANGERS;49007;M;Zack;4;2018
ANGERS;49007;F;Gabrielle;9;2013
ANGERS;49007;F;Léane;8;2013
ANGERS;49007;F;Louison;7;2013
ANGERS;49007;F;Salomé;6;2013
ANGERS;49007;F;Malak;4;2013
ANGERS;49007;F;Emma;25;2014
ANGERS;49007;F;Clémence;18;2014
ANGERS;49007;F;Maëline;9;2014
ANGERS;49007;F;Elisa;6;2014
ANGERS;49007;F;Coline;5;2014
ANGERS;49007;F;Ninon;5;2014
ANGERS;49007;F;Anaëlle;4;2014
ANGERS;49007;F;Soline;22;2015
ANGERS;49007;F;Maëlys;11;2015
ANGERS;49007;F;Rosalie;8;2015
ANGERS;49007;F;Héloïse;7;2015
ANGERS;49007;F;Lyana;5;2015
ANGERS;49007;F;Faustine;16;2016
ANGERS;49007;F;Charlie;7;2016
ANGERS;49007;F;Léana;5;2016
ANGERS;49007;F;Victoire;5;2016
ANGERS;49007;F;Charline;4;2016
ANGERS;49007;F;Cléa;4;2016
ANGERS;49007;F;Anaïs;12;2017
ANGERS;49007;F;Maria;4;2017
ANGERS;49007;F;Margot;23;2018
ANGERS;49007;F;Soline;14;2018
ANGERS;49007;F;Noémie;12;2018
ANGERS;49007;F;Assia;6;2018
ANGERS;49007;M;Lucas;54;2013
ANGERS;49007;M;Arthur;47;2013
ANGERS;49007;M;Aaron;11;2013
ANGERS;49007;M;Antonin;8;2013
ANGERS;49007;M;Naïm;8;2013
ANGERS;49007;M;Roméo;8;2013
ANGERS;49007;M;Emilien;7;2013
ANGERS;49007;M;Amir;5;2013
ANGERS;49007;M;Eliot;5;2014
ANGERS;49007;M;Romain;5;2014
ANGERS;49007;M;Arthur;32;2015
ANGERS;49007;M;Clément;27;2015
ANGERS;49007;M;Anatole;9;2014
ANGERS;49007;M;Théo;25;2015
ANGERS;49007;M;Ewen;9;2015
ANGERS;49007;M;Valentin;25;2016
ANGERS;49007;M;Tristan;6;2016
ANGERS;49007;M;David;5;2016
ANGERS;49007;M;Marceau;17;2017
ANGERS;49007;M;Antonin;11;2018
ANGERS;49007;F;Clara;14;2016
ANGERS;49007;F;Thaïs;8;2016
ANGERS;49007;F;Camille;28;2013
ANGERS;49007;F;Anaïs;9;2013
ANGERS;49007;F;Emy;9;2013
ANGERS;49007;F;Léana;8;2013
ANGERS;49007;F;Livia;4;2013
ANGERS;49007;F;Anna;26;2014
ANGERS;49007;F;Charlotte;19;2014
ANGERS;49007;F;Louna;17;2014
ANGERS;49007;F;Faustine;9;2014
ANGERS;49007;F;Maëlle;8;2014
ANGERS;49007;F;Ilyana;7;2014
ANGERS;49007;F;Daphné;5;2014
ANGERS;49007;F;Maya;5;2014
ANGERS;49007;F;Léna;20;2015
ANGERS;49007;F;Elise;7;2015
ANGERS;49007;F;Elena;6;2015
ANGERS;49007;F;Eline;5;2015
ANGERS;49007;F;Fanny;5;2015
ANGERS;49007;F;Mathilde;5;2015
ANGERS;49007;F;Adélaïde;4;2015
ANGERS;49007;F;Enola;4;2015
ANGERS;49007;F;Léna;24;2016
ANGERS;49007;F;Olivia;10;2016
ANGERS;49007;F;Eva;8;2016
ANGERS;49007;F;Calie;7;2016
ANGERS;49007;F;Apolline;6;2016
ANGERS;49007;F;Mélyne;5;2016
ANGERS;49007;F;Romy;5;2016
ANGERS;49007;F;Léna;23;2018
ANGERS;49007;F;Léonie;16;2018
ANGERS;49007;M;Théo;41;2013
ANGERS;49007;M;Victor;24;2013
ANGERS;49007;M;Evan;19;2013
ANGERS;49007;M;Louison;11;2013
ANGERS;49007;M;Tristan;9;2013
ANGERS;49007;M;Sohan;8;2013
ANGERS;49007;M;Martin;22;2014
ANGERS;49007;M;Ruben;9;2014
ANGERS;49007;M;Kenzo;8;2014
ANGERS;49007;M;Basile;7;2014
ANGERS;49007;M;Logan;6;2014
ANGERS;49007;M;Tylio;5;2014
ANGERS;49007;M;Angelo;4;2014
ANGERS;49007;M;Louis;48;2015
ANGERS;49007;M;Lucas;37;2015
ANGERS;49007;M;Gabin;36;2015
ANGERS;49007;M;Youssef;8;2015
ANGERS;49007;M;Lenny;7;2015
ANGERS;49007;M;Imran;6;2016
ANGERS;49007;M;Justin;6;2016
ANGERS;49007;M;Lenzo;6;2016
ANGERS;49007;M;Elias;5;2016
ANGERS;49007;M;Emile;5;2016
ANGERS;49007;M;Benjamin;4;2016
ANGERS;49007;F;Elisa;4;2018
ANGERS;49007;F;Joyce;4;2018
ANGERS;49007;F;Rosalie;4;2018
ANGERS;49007;M;Armand;6;2014
ANGERS;49007;M;Esteban;5;2014
ANGERS;49007;M;Louison;5;2014
ANGERS;49007;M;Achille;4;2014
ANGERS;49007;M;Nicolas;4;2014
ANGERS;49007;M;Louis;42;2016
ANGERS;49007;M;Mohamed;8;2016
ANGERS;49007;M;Mathys;7;2016
